trip_id,stop_sequence,station_id,scheduled_arrival_utc,scheduled_departure_utc
TRIP_R4_20260413_1,1,STN_010,2026-04-13T16:15:00Z,2026-04-13T16:16:00Z
TRIP_R4_20260413_1,2,STN_011,2026-04-13T16:25:00Z,2026-04-13T16:26:00Z
TRIP_R4_20260413_1,3,STN_012,2026-04-13T16:35:00Z,2026-04-13T16:36:00Z
TRIP_R1_20260414_0,1,STN_001,2026-04-14T06:15:00Z,2026-04-14T06:16:00Z
TRIP_R1_20260414_0,2,STN_002,2026-04-14T06:25:00Z,2026-04-14T06:26:00Z
TRIP_R1_20260414_0,3,STN_003,2026-04-14T06:35:00Z,2026-04-14T06:36:00Z
TRIP_R1_20260414_1,1,STN_001,2026-04-14T16:15:00Z,2026-04-14T16:16:00Z
TRIP_R1_20260414_1,2,STN_002,2026-04-14T16:25:00Z,2026-04-14T16:26:00Z
TRIP_R1_20260414_1,3,STN_003,2026-04-14T16:35:00Z,2026-04-14T16:36:00Z
TRIP_R2_20260414_0,1,STN_004,2026-04-14T06:15:00Z,2026-04-14T06:16:00Z
TRIP_R2_20260414_0,2,STN_005,2026-04-14T06:25:00Z,2026-04-14T06:26:00Z
TRIP_R2_20260414_0,3,STN_006,2026-04-14T06:35:00Z,2026-04-14T06:36:00Z
TRIP_R2_20260414_1,1,STN_004,2026-04-14T16:15:00Z,2026-04-14T16:16:00Z
TRIP_R2_20260414_1,2,STN_005,2026-04-14T16:25:00Z,2026-04-14T16:26:00Z
TRIP_R2_20260414_1,3,STN_006,2026-04-14T16:35:00Z,2026-04-14T16:36:00Z
TRIP_R3_20260414_0,1,STN_007,2026-04-14T06:15:00Z,2026-04-14T06:16:00Z
TRIP_R3_20260414_0,2,STN_008,2026-04-14T06:25:00Z,2026-04-14T06:26:00Z
TRIP_R3_20260414_0,3,STN_009,2026-04-14T06:35:00Z,2026-04-14T06:36:00Z
TRIP_R3_20260414_1,1,STN_007,2026-04-14T16:15:00Z,2026-04-14T16:16:00Z
TRIP_R3_20260414_1,2,STN_008,2026-04-14T16:25:00Z,2026-04-14T16:26:00Z
TRIP_R3_20260414_1,3,STN_009,2026-04-14T16:35:00Z,2026-04-14T16:36:00Z
TRIP_R4_20260414_0,1,STN_010,2026-04-14T06:15:00Z,2026-04-14T06:16:00Z
TRIP_R4_20260414_0,2,STN_011,2026-04-14T06:25:00Z,2026-04-14T06:26:00Z
TRIP_R4_20260414_0,3,STN_012,2026-04-14T06:35:00Z,2026-04-14T06:36:00Z
TRIP_R4_20260414_1,1,STN_010,2026-04-14T16:15:00Z,2026-04-14T16:16:00Z
TRIP_R4_20260414_1,2,STN_011,2026-04-14T16:25:00Z,2026-04-14T16:26:00Z
TRIP_R4_20260414_1,3,STN_012,2026-04-14T16:35:00Z,2026-04-14T16:36:00Z
TRIP_R1_20260415_0,1,STN_001,2026-04-15T06:15:00Z,2026-04-15T06:16:00Z
TRIP_R1_20260415_0,2,STN_002,2026-04-15T06:25:00Z,2026-04-15T06:26:00Z
TRIP_R1_20260415_0,3,STN_003,2026-04-15T06:35:00Z,2026-04-15T06:36:00Z
TRIP_R1_20260415_1,1,STN_001,2026-04-15T16:15:00Z,2026-04-15T16:16:00Z
TRIP_R1_20260415_1,2,STN_002,2026-04-15T16:25:00Z,2026-04-15T16:26:00Z
TRIP_R1_20260415_1,3,STN_003,2026-04-15T16:35:00Z,2026-04-15T16:36:00Z
TRIP_R2_20260415_0,1,STN_004,2026-04-15T06:15:00Z,2026-04-15T06:16:00Z
TRIP_R2_20260415_0,2,STN_005,2026-04-15T06:25:00Z,2026-04-15T06:26:00Z
TRIP_R2_20260415_0,3,STN_006,2026-04-15T06:35:00Z,2026-04-15T06:36:00Z
TRIP_R2_20260415_1,1,STN_004,2026-04-15T16:15:00Z,2026-04-15T16:16:00Z
TRIP_R2_20260415_1,2,STN_005,2026-04-15T16:25:00Z,2026-04-15T16:26:00Z
TRIP_R2_20260415_1,3,STN_006,2026-04-15T16:35:00Z,2026-04-15T16:36:00Z
TRIP_R3_20260415_0,1,STN_007,2026-04-15T06:15:00Z,2026-04-15T06:16:00Z
TRIP_R3_20260415_0,2,STN_008,2026-04-15T06:25:00Z,2026-04-15T06:26:00Z
TRIP_R3_20260415_0,3,STN_009,2026-04-15T06:35:00Z,2026-04-15T06:36:00Z
TRIP_R3_20260415_1,1,STN_007,2026-04-15T16:15:00Z,2026-04-15T16:16:00Z
TRIP_R3_20260415_1,2,STN_008,2026-04-15T16:25:00Z,2026-04-15T16:26:00Z
TRIP_R3_20260415_1,3,STN_009,2026-04-15T16:35:00Z,2026-04-15T16:36:00Z
TRIP_R4_20260415_0,1,STN_010,2026-04-15T06:15:00Z,2026-04-15T06:16:00Z
TRIP_R4_20260415_0,2,STN_011,2026-04-15T06:25:00Z,2026-04-15T06:26:00Z
TRIP_R4_20260415_0,3,STN_012,2026-04-15T06:35:00Z,2026-04-15T06:36:00Z
TRIP_R4_20260415_1,1,STN_010,2026-04-15T16:15:00Z,2026-04-15T16:16:00Z
TRIP_R4_20260415_1,2,STN_011,2026-04-15T16:25:00Z,2026-04-15T16:26:00Z
TRIP_R4_20260415_1,3,STN_012,2026-04-15T16:35:00Z,2026-04-15T16:36:00Z
