vehicle_test_id,boot_id,observed_at_utc,passenger_counter,previous_counter,adjacent_diff
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T06:00:00Z,5,,
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T06:20:00Z,10,5,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T06:40:00Z,15,10,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T07:00:00Z,20,15,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T07:20:00Z,25,20,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T07:40:00Z,30,25,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T08:00:00Z,35,30,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T08:20:00Z,40,35,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T08:40:00Z,45,40,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T16:00:00Z,50,45,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T16:20:00Z,55,50,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T16:40:00Z,60,55,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T17:00:00Z,65,60,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T17:20:00Z,70,65,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T17:40:00Z,75,70,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T18:00:00Z,80,75,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T18:20:00Z,85,80,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,2026-04-13T18:40:00Z,90,85,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T06:00:00Z,5,,
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T06:20:00Z,10,5,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T06:40:00Z,15,10,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T07:00:00Z,20,15,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T07:20:00Z,25,20,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T07:40:00Z,30,25,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T08:00:00Z,35,30,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T08:20:00Z,40,35,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,2026-04-14T08:40:00Z,45,40,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T16:00:00Z,5,,
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T16:20:00Z,10,5,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T16:40:00Z,15,10,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T17:00:00Z,20,15,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T17:20:00Z,25,20,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T17:40:00Z,30,25,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T18:00:00Z,35,30,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T18:20:00Z,40,35,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,2026-04-14T18:40:00Z,45,40,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T06:00:00Z,5,,
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T06:20:00Z,10,5,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T06:40:00Z,15,10,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T07:00:00Z,20,15,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T07:20:00Z,25,20,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T07:40:00Z,30,25,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T08:00:00Z,35,30,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T08:20:00Z,40,35,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T08:40:00Z,45,40,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T16:00:00Z,50,45,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T16:20:00Z,55,50,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T16:40:00Z,60,55,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T17:00:00Z,65,60,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T17:20:00Z,70,65,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T17:40:00Z,75,70,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T18:00:00Z,80,75,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T18:20:00Z,85,80,5
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,2026-04-15T18:40:00Z,90,85,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T06:00:00Z,5,,
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T06:20:00Z,10,5,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T06:40:00Z,15,10,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T07:00:00Z,20,15,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T07:20:00Z,25,20,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T07:40:00Z,30,25,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T08:00:00Z,35,30,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T08:20:00Z,40,35,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T08:40:00Z,45,40,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T16:00:00Z,50,45,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T16:20:00Z,55,50,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T16:40:00Z,60,55,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T17:00:00Z,65,60,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T17:20:00Z,70,65,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T17:40:00Z,75,70,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T18:00:00Z,80,75,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T18:20:00Z,85,80,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,2026-04-13T18:40:00Z,90,85,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T06:00:00Z,5,,
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T06:20:00Z,10,5,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T06:40:00Z,15,10,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T07:00:00Z,20,15,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T07:20:00Z,25,20,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T07:40:00Z,30,25,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T08:00:00Z,35,30,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T08:20:00Z,40,35,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T08:40:00Z,45,40,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T16:00:00Z,50,45,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T16:20:00Z,55,50,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T16:40:00Z,60,55,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T17:00:00Z,65,60,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T17:20:00Z,70,65,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T17:40:00Z,75,70,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T18:00:00Z,80,75,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T18:20:00Z,85,80,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,2026-04-14T18:40:00Z,90,85,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T06:00:00Z,5,,
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T06:20:00Z,10,5,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T06:40:00Z,15,10,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T07:00:00Z,20,15,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T07:20:00Z,25,20,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T07:40:00Z,30,25,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T08:00:00Z,35,30,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T08:20:00Z,40,35,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T08:40:00Z,45,40,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T16:00:00Z,50,45,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T16:20:00Z,55,50,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T16:40:00Z,60,55,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T17:00:00Z,65,60,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T17:20:00Z,70,65,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T17:40:00Z,75,70,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T18:00:00Z,80,75,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T18:20:00Z,85,80,5
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,2026-04-15T18:40:00Z,90,85,5
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T06:00:00Z,4,,
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T06:20:00Z,8,4,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T06:40:00Z,12,8,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T07:00:00Z,16,12,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T07:20:00Z,20,16,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T07:40:00Z,24,20,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T08:00:00Z,28,24,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T08:20:00Z,32,28,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T08:40:00Z,36,32,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T16:00:00Z,40,36,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T16:20:00Z,44,40,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T16:40:00Z,48,44,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T17:00:00Z,52,48,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T17:20:00Z,56,52,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T17:40:00Z,60,56,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T18:00:00Z,64,60,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T18:20:00Z,68,64,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,2026-04-13T18:40:00Z,72,68,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T06:00:00Z,4,,
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T06:20:00Z,8,4,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T06:40:00Z,12,8,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T07:00:00Z,16,12,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T07:20:00Z,20,16,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T07:40:00Z,24,20,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T08:00:00Z,28,24,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T08:20:00Z,32,28,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T08:40:00Z,36,32,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T16:00:00Z,40,36,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T16:20:00Z,44,40,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T16:40:00Z,48,44,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T17:00:00Z,52,48,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T17:20:00Z,56,52,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T17:40:00Z,60,56,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T18:00:00Z,64,60,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T18:20:00Z,68,64,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,2026-04-14T18:40:00Z,72,68,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T06:00:00Z,4,,
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T06:20:00Z,8,4,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T06:40:00Z,12,8,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T07:00:00Z,16,12,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T07:20:00Z,20,16,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T07:40:00Z,24,20,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T08:00:00Z,28,24,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T08:20:00Z,32,28,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T08:40:00Z,36,32,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T16:00:00Z,40,36,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T16:20:00Z,44,40,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T16:40:00Z,48,44,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T17:00:00Z,52,48,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T17:20:00Z,56,52,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T17:40:00Z,60,56,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T18:00:00Z,64,60,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T18:20:00Z,68,64,4
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,2026-04-15T18:40:00Z,72,68,4
